Titulo de la pelicula,Guion
Steel Magnolias (1989),Read transcript of Movie 'Steel Magnolias'
Cabin Fever (2000),Read transcript of Movie 'Cabin Fever'
"Chlorox, Ammonium and Coffee (2004)","Read transcript of Movie 'Chlorox, Ammonium and Coffee'"
Cheddar (2016),Read transcript of Movie 'Cheddar'
Free State of Jones (2016),Read transcript of Movie 'Free State of Jones'
Small Island (2009),Read transcript of Movie 'Small Island'
Ways to Live Forever (2010),Read transcript of Movie 'Ways to Live Forever'
Two Queens and One Consort (1981),Read transcript of Movie 'Two Queens and One Consort'
They Are All Dead (2014),Read transcript of Movie 'They Are All Dead'
The Tree We Hurt (1986),Read transcript of Movie 'The Tree We Hurt'
The Devil's Playground (1976),Read transcript of Movie 'The Devil's Playground'
The Be All and End All (2009),Read transcript of Movie 'The Be All and End All'
"Mariana, Mariana (1987)","Read transcript of Movie 'Mariana, Mariana'"
Maramao (1987),Read transcript of Movie 'Maramao'
Little Men (2005),Read transcript of Movie 'Little Men'
The Fear (2013),Read transcript of Movie 'The Fear'
La fracture du myocarde (1990),Read transcript of Movie 'La fracture du myocarde'
The Good Life (1996),Read transcript of Movie 'The Good Life'
C'est la vie (1990),Read transcript of Movie 'C'est la vie'
Tree of Knowledge (1981),Read transcript of Movie 'Tree of Knowledge'
Fearful John (2010),Read transcript of Movie 'Fearful John'
The Revolt of Job (1983),Read transcript of Movie 'The Revolt of Job'
Jeremy (1973),Read transcript of Movie 'Jeremy'
Il saprofita (1974),Read transcript of Movie 'Il saprofita'
The Miracle (2003),Read transcript of Movie 'The Miracle'
Forever Young (2010),Read transcript of Movie 'Forever Young'
"Goodbye, Mr. Chips (2002)","Read transcript of Movie 'Goodbye, Mr. Chips'"
Gates to Paradise (1968),Read transcript of Movie 'Gates to Paradise'
I Remember (2005),Read transcript of Movie 'I Remember'
De schippers van de Kameleon (2003),Read transcript of Movie 'De schippers van de Kameleon'
Roald Dahl's Danny the Champion of the World (1989),Read transcript of Movie 'Roald Dahl's Danny the Champion of the World'
Bienaventurados (2012),Read transcript of Movie 'Bienaventurados'
The Woman in the Painting (1955),Read transcript of Movie 'The Woman in the Painting'
Il capitano (1991),Read transcript of Movie 'Il capitano'
The Hunt (1964),Read transcript of Movie 'The Hunt'
Late Blossom (2011),Read transcript of Movie 'Late Blossom'
Un embrujo (1998),Read transcript of Movie 'Un embrujo'
Weekend in the Countryside (2007),Read transcript of Movie 'Weekend in the Countryside'
Mili (2015),Read transcript of Movie 'Mili'
The Graffiti Artist (2004),Read transcript of Movie 'The Graffiti Artist'
Summer Blues (2002),Read transcript of Movie 'Summer Blues'
Sebastiane (1976),Read transcript of Movie 'Sebastiane'
Quemar las naves (2007),Read transcript of Movie 'Quemar las naves'
Plutôt d'accord (2004),Read transcript of Movie 'Plutôt d'accord'
"Patrik, Age 1.5 (2008)","Read transcript of Movie 'Patrik, Age 1.5'"
O Fantasma (2000),Read transcript of Movie 'O Fantasma'
We Were One Man (1979),Read transcript of Movie 'We Were One Man'
My Bromance (2014),Read transcript of Movie 'My Bromance'
Moritz (2003),Read transcript of Movie 'Moritz'
Operation YY (2000),Read transcript of Movie 'Operation YY'
Lucky Blue (2007),Read transcript of Movie 'Lucky Blue'
Demented (2006),Read transcript of Movie 'Demented'
Romeo's Kiss (2007),Read transcript of Movie 'Romeo's Kiss'
A Kiss in the Snow (1997),Read transcript of Movie 'A Kiss in the Snow'
Kambyo (2008),Read transcript of Movie 'Kambyo'
A Little Comfort (2004),Read transcript of Movie 'A Little Comfort'
Glue (2006),Read transcript of Movie 'Glue'
Garçon stupide (2004),Read transcript of Movie 'Garçon stupide'
Precious Moments (2003),Read transcript of Movie 'Precious Moments'
Private Lessons (2008),Read transcript of Movie 'Private Lessons'
Dream Boy (2008),Read transcript of Movie 'Dream Boy'
"You, Me and Him (2007)","Read transcript of Movie 'You, Me and Him'"
Waves (1999),Read transcript of Movie 'Waves'
The Blossoming of Maximo Oliveros (2005),Read transcript of Movie 'The Blossoming of Maximo Oliveros'
The Man in the Lighthouse (2007),Read transcript of Movie 'The Man in the Lighthouse'
Alger la blanche (1986),Read transcript of Movie 'Alger la blanche'
Baduk (1992),Read transcript of Movie 'Baduk'
The Handmaiden (2016),Read transcript of Movie 'The Handmaiden'
Walk Cheerfully (1930),Read transcript of Movie 'Walk Cheerfully'
"Hail, Caesar! (2016)","Read transcript of Movie 'Hail, Caesar!'"
Lissy (1957),Read transcript of Movie 'Lissy'
"Blue Mountains, or Unbelievable Story (1983)","Read transcript of Movie 'Blue Mountains, or Unbelievable Story'"
Ghost Ship (2002),Read transcript of Movie 'Ghost Ship'
The Here After (2015),Read transcript of Movie 'The Here After'
The Reunion (2013),Read transcript of Movie 'The Reunion'
The Yard (2016),Read transcript of Movie 'The Yard'
Out of Nature (2014),Read transcript of Movie 'Out of Nature'
Paper Planes (2014),Read transcript of Movie 'Paper Planes'
X-Men: Apocalypse (2016),Read transcript of Movie 'X-Men: Apocalypse'
Mr. Church (2016),Read transcript of Movie 'Mr. Church'
We Jam Econo: The Story of the Minutemen (2005),Read transcript of Movie 'We Jam Econo: The Story of the Minutemen'
Popstar: Never Stop Never Stopping (2016),Read transcript of Movie 'Popstar: Never Stop Never Stopping'
Deathstalker (1983),Read transcript of Movie 'Deathstalker'
The Girl Who Played with Fire (2009),Read transcript of Movie 'The Girl Who Played with Fire'
Restoration Italian Style: For a Few Dollars More (2005),Read transcript of Movie 'Restoration Italian Style: For a Few Dollars More'
Yellow Tears (2007),Read transcript of Movie 'Yellow Tears'
The Siege of Jadotville (2016),Read transcript of Movie 'The Siege of Jadotville'
Little Crumb (1999),Read transcript of Movie 'Little Crumb'
Mansfield Park (2007),Read transcript of Movie 'Mansfield Park'
Wrong Turn 4: Bloody Beginnings (2011),Read transcript of Movie 'Wrong Turn 4: Bloody Beginnings'
Moon (2009),Read transcript of Movie 'Moon'
Bhaag Milkha Bhaag (2013),Read transcript of Movie 'Bhaag Milkha Bhaag'
Cracks (2009),Read transcript of Movie 'Cracks'
Chicago (2002),Read transcript of Movie 'Chicago'
Road Trip (2000),Read transcript of Movie 'Road Trip'
Repulsion (1965),Read transcript of Movie 'Repulsion'
Undisputed 2: Last Man Standing (2006),Read transcript of Movie 'Undisputed 2: Last Man Standing'
Fantomas vs. Scotland Yard (1967),Read transcript of Movie 'Fantomas vs. Scotland Yard'
Svengali (2013),Read transcript of Movie 'Svengali'
The Policeman's Wife (2013),Read transcript of Movie 'The Policeman's Wife'
Rurouni Kenshin: Kyoto Inferno (2014),Read transcript of Movie 'Rurouni Kenshin: Kyoto Inferno'
Alfie (2004),Read transcript of Movie 'Alfie'
Magnum Force (1973),Read transcript of Movie 'Magnum Force'
Flipper (1996),Read transcript of Movie 'Flipper'
Unforgiven (2013),Read transcript of Movie 'Unforgiven'
Krisha (2015),Read transcript of Movie 'Krisha'
Diabolique (1955),Read transcript of Movie 'Diabolique'
Erik of het klein insectenboek (2004),Read transcript of Movie 'Erik of het klein insectenboek'
Mr. Bjarnfreðarson (2009),Read transcript of Movie 'Mr. Bjarnfreðarson'
Julieta (2016),Read transcript of Movie 'Julieta'
The Tutor (2016),Read transcript of Movie 'The Tutor'
Why Is Mother in My Bed? (1994),Read transcript of Movie 'Why Is Mother in My Bed?'
Boys and Girls (2000),Read transcript of Movie 'Boys and Girls'
Sound City (2013),Read transcript of Movie 'Sound City'
Silent Hill (2006),Read transcript of Movie 'Silent Hill'
The Wailing (2016),Read transcript of Movie 'The Wailing'
Diary of a Nymphomaniac (2008),Read transcript of Movie 'Diary of a Nymphomaniac'
Legend (1985),Read transcript of Movie 'Legend'
The War Game (1965),Read transcript of Movie 'The War Game'
G O'Clock (2016),Read transcript of Movie 'G O'Clock'
The Heartbreak Kid (2007),Read transcript of Movie 'The Heartbreak Kid'
The Secret Life of Chaos (2010),Read transcript of Movie 'The Secret Life of Chaos'
Independence Day (1996),Read transcript of Movie 'Independence Day'
"I Love, You Love (1989)","Read transcript of Movie 'I Love, You Love'"
Trick or Treat (1986),Read transcript of Movie 'Trick or Treat'
Bridget Jones: The Edge of Reason (2004),Read transcript of Movie 'Bridget Jones: The Edge of Reason'
Dawn (2016),Read transcript of Movie 'Dawn'
Alice Through the Looking Glass (2016),Read transcript of Movie 'Alice Through the Looking Glass'
Unleashed (2005),Read transcript of Movie 'Unleashed'
The Boy and the Beast (2015),Read transcript of Movie 'The Boy and the Beast'
Barjo (1992),Read transcript of Movie 'Barjo'
The Best Years of Our Lives (1946),Read transcript of Movie 'The Best Years of Our Lives'
Morning is Broken (2015),Read transcript of Movie 'Morning is Broken'
The Story of a Cheat (1936),Read transcript of Movie 'The Story of a Cheat'
P.S. I Love You (2007),Read transcript of Movie 'P.S. I Love You'
A Perfect Murder (1998),Read transcript of Movie 'A Perfect Murder'
Let Me In (2010),Read transcript of Movie 'Let Me In'
Saw (2004),Read transcript of Movie 'Saw'
The Rum Diary (2011),Read transcript of Movie 'The Rum Diary'
Ice Age: Collision Course (2016),Read transcript of Movie 'Ice Age: Collision Course'
The Syrian Bride (2004),Read transcript of Movie 'The Syrian Bride'
X-Men: Days of Future Past (2014),Read transcript of Movie 'X-Men: Days of Future Past'
Closets (2015),Read transcript of Movie 'Closets'
Chodník cez Dunaj (1989),Read transcript of Movie 'Chodník cez Dunaj'
"Birds, Orphans and Fools (1969)","Read transcript of Movie 'Birds, Orphans and Fools'"
The Boxer and Death (1963),Read transcript of Movie 'The Boxer and Death'
Swiss Army Man (2016),Read transcript of Movie 'Swiss Army Man'
Nightstand (2015),Read transcript of Movie 'Nightstand'
Of Love and Shadows (1994),Read transcript of Movie 'Of Love and Shadows'
Reservoir Dogs (1992),Read transcript of Movie 'Reservoir Dogs'
Warcraft: The Beginning (2016),Read transcript of Movie 'Warcraft: The Beginning'
Always - Sunset on Third Street (2005),Read transcript of Movie 'Always - Sunset on Third Street'
Bury Me Behind the Baseboard (2009),Read transcript of Movie 'Bury Me Behind the Baseboard'
Sauna the Dead: A Fairy Tale (2016),Read transcript of Movie 'Sauna the Dead: A Fairy Tale'
Hot Shots! (1991),Read transcript of Movie 'Hot Shots!'
Episode #1.2 (2015),Read transcript of Movie 'Episode #1.2'
Kazyonnyy dom (1989),Read transcript of Movie 'Kazyonnyy dom'
Before I Self Destruct (2009),Read transcript of Movie 'Before I Self Destruct'
Ghostbusters (2016),Read transcript of Movie 'Ghostbusters'
The Throne (2015),Read transcript of Movie 'The Throne'
All About My Mother (1999),Read transcript of Movie 'All About My Mother'
Being 17 (2016),Read transcript of Movie 'Being 17'
Brokedown Palace (1999),Read transcript of Movie 'Brokedown Palace'
The Demons (2015),Read transcript of Movie 'The Demons'
Pink Moon (2015),Read transcript of Movie 'Pink Moon'
Pervyy uchitel (1965),Read transcript of Movie 'Pervyy uchitel'
The Bourne Ultimatum (2007),Read transcript of Movie 'The Bourne Ultimatum'
Tears of Steel (2012),Read transcript of Movie 'Tears of Steel'
Sintel (2010),Read transcript of Movie 'Sintel'
Mike and Dave Need Wedding Dates (2016),Read transcript of Movie 'Mike and Dave Need Wedding Dates'
Money Monster (2016),Read transcript of Movie 'Money Monster'
The Hangover Part II (2011),Read transcript of Movie 'The Hangover Part II'
Next to Her (2014),Read transcript of Movie 'Next to Her'
Pirate's Passage (2015),Read transcript of Movie 'Pirate's Passage'
Race (2016),Read transcript of Movie 'Race'
Maelstrom (2000),Read transcript of Movie 'Maelstrom'
Contagion (2011),Read transcript of Movie 'Contagion'
Philadelphia (1993),Read transcript of Movie 'Philadelphia'
GoldenEye (1995),Read transcript of Movie 'GoldenEye'
Central Intelligence (2016),Read transcript of Movie 'Central Intelligence'
Valkyrie (2008),Read transcript of Movie 'Valkyrie'
Scent of a Woman (1992),Read transcript of Movie 'Scent of a Woman'
Day of the Wacko (2002),Read transcript of Movie 'Day of the Wacko'
Robinson y Viernes en la isla encantada (1973),Read transcript of Movie 'Robinson y Viernes en la isla encantada'
12 Angry Men (1957),Read transcript of Movie '12 Angry Men'
My Golden Days (2015),Read transcript of Movie 'My Golden Days'
Christiane F. (1981),Read transcript of Movie 'Christiane F.'
Notre-Dame de Paris (1999),Read transcript of Movie 'Notre-Dame de Paris'
I Stand Alone (1998),Read transcript of Movie 'I Stand Alone'
Sounder (1972),Read transcript of Movie 'Sounder'
Gods of Egypt (2016),Read transcript of Movie 'Gods of Egypt'
The Shallows (2016),Read transcript of Movie 'The Shallows'
Batman & Robin (1997),Read transcript of Movie 'Batman & Robin'
Spectre (2015),Read transcript of Movie 'Spectre'
The Search (2014),Read transcript of Movie 'The Search'
Rock On!! (2008),Read transcript of Movie 'Rock On!!'
North by Northwest (1959),Read transcript of Movie 'North by Northwest'
Camp X-Ray (2014),Read transcript of Movie 'Camp X-Ray'
The Incident (2014),Read transcript of Movie 'The Incident'
Me Before You (2016),Read transcript of Movie 'Me Before You'
Starter for 10 (2006),Read transcript of Movie 'Starter for 10'
Candy (2006),Read transcript of Movie 'Candy'
San Andreas (2015),Read transcript of Movie 'San Andreas'
Take Care of My Cat (2001),Read transcript of Movie 'Take Care of My Cat'
The Greatest Movie Ever Sold (2011),Read transcript of Movie 'The Greatest Movie Ever Sold'
Setup (2011),Read transcript of Movie 'Setup'
The Rifleman of the Voroshilov Regiment (1999),Read transcript of Movie 'The Rifleman of the Voroshilov Regiment'
The October Brigade (1995),Read transcript of Movie 'The October Brigade'
Total Recall (2012),Read transcript of Movie 'Total Recall'
The Neon Demon (2016),Read transcript of Movie 'The Neon Demon'
Catch That Kid (2004),Read transcript of Movie 'Catch That Kid'
My One and Only (2009),Read transcript of Movie 'My One and Only'
The Entitled (2011),Read transcript of Movie 'The Entitled'
The Narrows (2008),Read transcript of Movie 'The Narrows'
Apt Pupil (1998),Read transcript of Movie 'Apt Pupil'
December Boys (2007),Read transcript of Movie 'December Boys'
Vampire (2011),Read transcript of Movie 'Vampire'
Transamerica (2005),Read transcript of Movie 'Transamerica'
Cheats (2002),Read transcript of Movie 'Cheats'
Au Revoir les Enfants (1987),Read transcript of Movie 'Au Revoir les Enfants'
Cyber Seduction: His Secret Life (2005),Read transcript of Movie 'Cyber Seduction: His Secret Life'
Lulu the Tool (1971),Read transcript of Movie 'Lulu the Tool'
Weekend (2011),Read transcript of Movie 'Weekend'
Themis (2011),Read transcript of Movie 'Themis'
"Goodbye, Father (1996)","Read transcript of Movie 'Goodbye, Father'"
Finding Graceland (1998),Read transcript of Movie 'Finding Graceland'
Ayakashi - Samurai Horror Tales (2006),Read transcript of Movie 'Ayakashi - Samurai Horror Tales'
Awakenings (1990),Read transcript of Movie 'Awakenings'
Goodnight Mommy (2014),Read transcript of Movie 'Goodnight Mommy'
11:14 (2003),Read transcript of Movie '11:14'
One Flew Over the Cuckoo's Nest (1975),Read transcript of Movie 'One Flew Over the Cuckoo's Nest'
Shutter Island (2010),Read transcript of Movie 'Shutter Island'
Demons (2007),Read transcript of Movie 'Demons'
Underdogs (2013),Read transcript of Movie 'Underdogs'
A Hologram for the King (2016),Read transcript of Movie 'A Hologram for the King'
The Jungle Book (2016),Read transcript of Movie 'The Jungle Book'
Ride Along 2 (2016),Read transcript of Movie 'Ride Along 2'
Snatch (2000),Read transcript of Movie 'Snatch'
The Door (2009),Read transcript of Movie 'The Door'
Twin Peaks: Fire Walk with Me (1992),Read transcript of Movie 'Twin Peaks: Fire Walk with Me'
Trainwreck (2015),Read transcript of Movie 'Trainwreck'
The Driftless Area (2015),Read transcript of Movie 'The Driftless Area'
Hairspray (2007),Read transcript of Movie 'Hairspray'
The Departed (2006),Read transcript of Movie 'The Departed'
Family Affair (2011),Read transcript of Movie 'Family Affair'
The Pianist (2002),Read transcript of Movie 'The Pianist'
Peter Pan II: Return to Neverland (2002),Read transcript of Movie 'Peter Pan II: Return to Neverland'
Passing Summer (2001),Read transcript of Movie 'Passing Summer'
Suite Française (2014),Read transcript of Movie 'Suite Française'
The Huntsman: Winter's War (2016),Read transcript of Movie 'The Huntsman: Winter's War'
The Colony (2015),Read transcript of Movie 'The Colony'
The Murder Pact (2015),Read transcript of Movie 'The Murder Pact'
11.25: The Day He Chose His Own Fate (2012),Read transcript of Movie '11.25: The Day He Chose His Own Fate'
The Longest Yard (2005),Read transcript of Movie 'The Longest Yard'
A Beautiful Mind (2001),Read transcript of Movie 'A Beautiful Mind'
The Prestige (2006),Read transcript of Movie 'The Prestige'
The Godfather: Part III (1990),Read transcript of Movie 'The Godfather: Part III'
The Skeleton Twins (2014),Read transcript of Movie 'The Skeleton Twins'
"Lock, Stock and Two Smoking Barrels (1998)","Read transcript of Movie 'Lock, Stock and Two Smoking Barrels'"
Maradona by Kusturica (2008),Read transcript of Movie 'Maradona by Kusturica'
The Twilight Samurai (2002),Read transcript of Movie 'The Twilight Samurai'
Whiskey Tango Foxtrot (2016),Read transcript of Movie 'Whiskey Tango Foxtrot'
April and the Extraordinary World (2015),Read transcript of Movie 'April and the Extraordinary World'
A Delicate Balance: The Truth (2008),Read transcript of Movie 'A Delicate Balance: The Truth'
Jack of the Red Hearts (2015),Read transcript of Movie 'Jack of the Red Hearts'
Bridgend (2015),Read transcript of Movie 'Bridgend'
Bloody Tale (1969),Read transcript of Movie 'Bloody Tale'
Bolt (2008),Read transcript of Movie 'Bolt'
The Last Straight Man (2014),Read transcript of Movie 'The Last Straight Man'
Words and Pictures (2013),Read transcript of Movie 'Words and Pictures'
Helmut Newton: Frames from the Edge (1989),Read transcript of Movie 'Helmut Newton: Frames from the Edge'
En la cama (2005),Read transcript of Movie 'En la cama'
Michael (1996),Read transcript of Movie 'Michael'
Persepolis (2007),Read transcript of Movie 'Persepolis'
Persona Non Grata (2015),Read transcript of Movie 'Persona Non Grata'
Rent (2005),Read transcript of Movie 'Rent'
Wind from the East (1970),Read transcript of Movie 'Wind from the East'
Land of the Dead (2005),Read transcript of Movie 'Land of the Dead'
The Elephant Man (1980),Read transcript of Movie 'The Elephant Man'
Misconduct (2016),Read transcript of Movie 'Misconduct'
Devon Ke Dev... Mahadev (2011),Read transcript of Movie 'Devon Ke Dev... Mahadev'
Eden (2012),Read transcript of Movie 'Eden'
Lord of War (2005),Read transcript of Movie 'Lord of War'
The Conquest of the Pole (1912),Read transcript of Movie 'The Conquest of the Pole'
King's Game (2004),Read transcript of Movie 'King's Game'
The Pride and the Passion (1957),Read transcript of Movie 'The Pride and the Passion'
The Flower of My Secret (1995),Read transcript of Movie 'The Flower of My Secret'
Dillinger (1973),Read transcript of Movie 'Dillinger'
Life on the Line (2015),Read transcript of Movie 'Life on the Line'
The Martian (2015),Read transcript of Movie 'The Martian'
Perfect Strangers (2016),Read transcript of Movie 'Perfect Strangers'
The Broken Crown (2016),Read transcript of Movie 'The Broken Crown'
Grave of the Fireflies (1988),Read transcript of Movie 'Grave of the Fireflies'
Into the Forest (2015),Read transcript of Movie 'Into the Forest'
Justice League vs. Teen Titans (2016),Read transcript of Movie 'Justice League vs. Teen Titans'
My Grandfather's People (2011),Read transcript of Movie 'My Grandfather's People'
Captain America: The First Avenger (2011),Read transcript of Movie 'Captain America: The First Avenger'
Camille Claudel 1915 (2013),Read transcript of Movie 'Camille Claudel 1915'
Spring Breakers (2012),Read transcript of Movie 'Spring Breakers'
Te3n (2016),Read transcript of Movie 'Te3n'
Lilya 4-Ever (2002),Read transcript of Movie 'Lilya 4-Ever'
Glorious 39 (2009),Read transcript of Movie 'Glorious 39'
Mary and Max (2009),Read transcript of Movie 'Mary and Max'
Batman: The Killing Joke (2016),Read transcript of Movie 'Batman: The Killing Joke'
The Adderall Diaries (2015),Read transcript of Movie 'The Adderall Diaries'
All About Them (2015),Read transcript of Movie 'All About Them'
When Trumpets Fade (1998),Read transcript of Movie 'When Trumpets Fade'
The Intouchables (2011),Read transcript of Movie 'The Intouchables'
The Decameron (1971),Read transcript of Movie 'The Decameron'
Where to Invade Next (2015),Read transcript of Movie 'Where to Invade Next'
The Naked Prey (1965),Read transcript of Movie 'The Naked Prey'
The Corruption (1986),Read transcript of Movie 'The Corruption'
Time to Love (1965),Read transcript of Movie 'Time to Love'
Key of Life (2012),Read transcript of Movie 'Key of Life'
Cold Eyes (2013),Read transcript of Movie 'Cold Eyes'
The Fast and the Furious (2001),Read transcript of Movie 'The Fast and the Furious'
The Man Who Knew Too Much (1956),Read transcript of Movie 'The Man Who Knew Too Much'
Gabriel (2014),Read transcript of Movie 'Gabriel'
Ned Rifle (2014),Read transcript of Movie 'Ned Rifle'
Evolution (2015),Read transcript of Movie 'Evolution'
The Chorus (2004),Read transcript of Movie 'The Chorus'
High-Rise (2015),Read transcript of Movie 'High-Rise'
Love Me If You Dare (2003),Read transcript of Movie 'Love Me If You Dare'
Ali (2001),Read transcript of Movie 'Ali'
Tudo Sobre... (2005),Read transcript of Movie 'Tudo Sobre...'
The School Teacher (1975),Read transcript of Movie 'The School Teacher'
1 - Nenokkadine (2014),Read transcript of Movie '1 - Nenokkadine'
Somewhere in the Night (1946),Read transcript of Movie 'Somewhere in the Night'
Se7en (1995),Read transcript of Movie 'Se7en'
Angel's Egg (1985),Read transcript of Movie 'Angel's Egg'
The Program (2015),Read transcript of Movie 'The Program'
The Wedding (2004),Read transcript of Movie 'The Wedding'
Living in Emergency (2008),Read transcript of Movie 'Living in Emergency'
Johnny Mnemonic (1995),Read transcript of Movie 'Johnny Mnemonic'
One Day (2011),Read transcript of Movie 'One Day'
Tale of Tales (2015),Read transcript of Movie 'Tale of Tales'
Water Lilies (2007),Read transcript of Movie 'Water Lilies'
Marebito (2004),Read transcript of Movie 'Marebito'
Catch Me If You Can (2002),Read transcript of Movie 'Catch Me If You Can'
Flowers for My Life (2007),Read transcript of Movie 'Flowers for My Life'
Paperback Hero (1999),Read transcript of Movie 'Paperback Hero'
Stranger Than Paradise (1984),Read transcript of Movie 'Stranger Than Paradise'
Love Loves Coincidences (2011),Read transcript of Movie 'Love Loves Coincidences'
Classic Albums: Black Sabbath - Paranoid (2010),Read transcript of Movie 'Classic Albums: Black Sabbath - Paranoid'
The Invitation (2015),Read transcript of Movie 'The Invitation'
The Assassin (2015),Read transcript of Movie 'The Assassin'
Brian's Song (1971),Read transcript of Movie 'Brian's Song'
Love to Eternity (1972),Read transcript of Movie 'Love to Eternity'
Police Academy (1984),Read transcript of Movie 'Police Academy'
House of Flying Daggers (2004),Read transcript of Movie 'House of Flying Daggers'
A Bullet for the General (1967),Read transcript of Movie 'A Bullet for the General'
Abandoned (1955),Read transcript of Movie 'Abandoned'
Universal Soldier: The Return (1999),Read transcript of Movie 'Universal Soldier: The Return'
Death Note: L Change the World (2008),Read transcript of Movie 'Death Note: L Change the World'
Transcendence (2014),Read transcript of Movie 'Transcendence'
Hail Hazana (1978),Read transcript of Movie 'Hail Hazana'
Simon sagt 'Auf Wiedersehen' zu seiner Vorhaut (2015),Read transcript of Movie 'Simon sagt 'Auf Wiedersehen' zu seiner Vorhaut'
Midnight Special (2016),Read transcript of Movie 'Midnight Special'
Beast (2011),Read transcript of Movie 'Beast'
Glue Sniffer (1999),Read transcript of Movie 'Glue Sniffer'
The Green Butchers (2003),Read transcript of Movie 'The Green Butchers'
Sonatine (1993),Read transcript of Movie 'Sonatine'
Wild Target (2010),Read transcript of Movie 'Wild Target'
Treasure Planet (2002),Read transcript of Movie 'Treasure Planet'
Microbe & Gasoline (2015),Read transcript of Movie 'Microbe & Gasoline'
Cats Don't Have Vertigo (2014),Read transcript of Movie 'Cats Don't Have Vertigo'
A Tale of Love and Darkness (2015),Read transcript of Movie 'A Tale of Love and Darkness'
The Brothers Grimsby (2016),Read transcript of Movie 'The Brothers Grimsby'
Voyage to Cythera (1984),Read transcript of Movie 'Voyage to Cythera'
Land of Mine (2015),Read transcript of Movie 'Land of Mine'
In the Shadow of Women (2015),Read transcript of Movie 'In the Shadow of Women'
Zootopia (2016),Read transcript of Movie 'Zootopia'
Erik the Viking (1989),Read transcript of Movie 'Erik the Viking'
Promise (2016),Read transcript of Movie 'Promise'
In a Lonely Place (1950),Read transcript of Movie 'In a Lonely Place'
Augustine (2012),Read transcript of Movie 'Augustine'
"Mondomanila, or: How I Fixed My Hair After a Rather Long Journey (2010)","Read transcript of Movie 'Mondomanila, or: How I Fixed My Hair After a Rather Long Journey'"
The Cup (1999),Read transcript of Movie 'The Cup'
Mercy (2014),Read transcript of Movie 'Mercy'
Angels & Demons (2009),Read transcript of Movie 'Angels & Demons'
Full Metal Jacket (1987),Read transcript of Movie 'Full Metal Jacket'
The Impossible Kid of Kung Fu (1982),Read transcript of Movie 'The Impossible Kid of Kung Fu'
Mere Brother Ki Dulhan (2011),Read transcript of Movie 'Mere Brother Ki Dulhan'
The Ceremony (1971),Read transcript of Movie 'The Ceremony'
Evil Dead II (1987),Read transcript of Movie 'Evil Dead II'
He Is My Girl (2009),Read transcript of Movie 'He Is My Girl'
Harry Potter and the Deathly Hallows: Part 1 (2010),Read transcript of Movie 'Harry Potter and the Deathly Hallows: Part 1'
Belle de Jour (1967),Read transcript of Movie 'Belle de Jour'
Inglourious Basterds (2009),Read transcript of Movie 'Inglourious Basterds'
Pride & Prejudice (2005),Read transcript of Movie 'Pride & Prejudice'
Argo (2012),Read transcript of Movie 'Argo'
Ruby & Quentin (2003),Read transcript of Movie 'Ruby & Quentin'
Bridge of Spies (2015),Read transcript of Movie 'Bridge of Spies'
The Next Three Days (2010),Read transcript of Movie 'The Next Three Days'
Precious Cargo (2016),Read transcript of Movie 'Precious Cargo'
Zvezda plenitelnogo schastya (1975),Read transcript of Movie 'Zvezda plenitelnogo schastya'
Number 55 (2014),Read transcript of Movie 'Number 55'
Sweet November (2001),Read transcript of Movie 'Sweet November'
Richard III (1955),Read transcript of Movie 'Richard III'
"The Adventures of Priscilla, Queen of the Desert (1994)","Read transcript of Movie 'The Adventures of Priscilla, Queen of the Desert'"
The United States of Leland (2003),Read transcript of Movie 'The United States of Leland'
X-Men (2000),Read transcript of Movie 'X-Men'
The Manchurian Candidate (1962),Read transcript of Movie 'The Manchurian Candidate'
Zathura: A Space Adventure (2005),Read transcript of Movie 'Zathura: A Space Adventure'
Night Train (2009),Read transcript of Movie 'Night Train'
Street of Shame (1956),Read transcript of Movie 'Street of Shame'
Tess of the D'Urbervilles (1998),Read transcript of Movie 'Tess of the D'Urbervilles'
The Prophet (2014),Read transcript of Movie 'The Prophet'
Special Correspondents (2016),Read transcript of Movie 'Special Correspondents'
Gattu (2011),Read transcript of Movie 'Gattu'
Horse Money (2014),Read transcript of Movie 'Horse Money'
The Words (2012),Read transcript of Movie 'The Words'
12:01 (1993),Read transcript of Movie '12:01'
Kin-dza-dza! (1986),Read transcript of Movie 'Kin-dza-dza!'
Cowboy Bebop: The Movie (2001),Read transcript of Movie 'Cowboy Bebop: The Movie'
How to Be Single (2016),Read transcript of Movie 'How to Be Single'
Unfair (2006),Read transcript of Movie 'Unfair'
Dr. Horrible's Sing-Along Blog (2008),Read transcript of Movie 'Dr. Horrible's Sing-Along Blog'
The Bad Sleep Well (1960),Read transcript of Movie 'The Bad Sleep Well'
Krampus (2015),Read transcript of Movie 'Krampus'
Holding the Man (2015),Read transcript of Movie 'Holding the Man'
Anomalisa (2015),Read transcript of Movie 'Anomalisa'
Enemy (2013),Read transcript of Movie 'Enemy'
Wristcutters: A Love Story (2006),Read transcript of Movie 'Wristcutters: A Love Story'
Algorithm (2014),Read transcript of Movie 'Algorithm'
The Baader Meinhof Complex (2008),Read transcript of Movie 'The Baader Meinhof Complex'
Kolysanka (2010),Read transcript of Movie 'Kolysanka'
Risen (2016),Read transcript of Movie 'Risen'
The Witch (2015),Read transcript of Movie 'The Witch'
Posledniy shturm (1971),Read transcript of Movie 'Posledniy shturm'
Bitva za Berlin (1971),Read transcript of Movie 'Bitva za Berlin'
